         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:09         4171693.23686        872120.22858       4730015.86014       11.80800       48.17154      533.59978          -0.23468           5.07726           9.00913          -1.42629           3.15419          -4.76544                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171693.91039        872119.99872       4730016.40519       11.80800       48.17154      534.41423          -0.59750           4.98456           9.82357          -1.78911           3.06148          -3.95099                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171694.67842        872119.82583       4730017.41799       11.80799       48.17154      535.64668          -0.92389           5.12616          11.05602          -2.11551           3.20309          -2.71854                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171695.38824        872119.66040       4730018.64519       11.80799       48.17155      537.00190          -1.23108           5.45209          12.41124          -2.42269           3.52902          -1.36332                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171696.14748        872119.48348       4730019.58292       11.80798       48.17155      538.17213          -1.55962           5.55068          13.58147          -2.75124           3.62760          -0.19309                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171696.35202        872119.75902       4730020.40644       11.80799       48.17155      538.95689          -1.33176           5.90868          14.36624          -2.52338           3.98561           0.59167                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171696.88313        872119.57599       4730020.96384       11.80798       48.17155      539.69397          -1.61960           5.92094          15.10331          -2.81122           3.99786           1.32875                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171696.74152        872119.83100       4730021.09193       11.80799       48.17155      539.73177          -1.34102           6.07077          15.14111          -2.53263           4.14769           1.36655                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171697.49636        872119.43551       4730021.60929       11.80798       48.17155      540.55606          -1.88260           5.92553          15.96540          -3.07421           4.00246           2.19084                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171698.55101        872119.63121       4730022.17056       11.80798       48.17155      541.68946          -1.90686           5.50077          17.09880          -3.09848           3.57770           3.32424                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171698.65235        872119.79319       4730022.74501       11.80798       48.17155      542.20576          -1.76904           5.78526          17.61510          -2.96066           3.86219           3.84054                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171699.15523        872119.98931       4730023.14050       11.80798       48.17155      542.85551          -1.67998           5.65232          18.26485          -2.87160           3.72925           4.49029                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171699.69836        872120.06239       4730022.99798       11.80798       48.17154      543.11383          -1.71959           5.14999          18.52317          -2.91121           3.22692           4.74861                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171700.43395        872120.14453       4730023.06653       11.80798       48.17154      543.65630          -1.78971           4.64665          19.06565          -2.98132           2.72358           5.29108                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171700.99916        872120.20326       4730023.33523       11.80798       48.17154      544.23351          -1.84789           4.40465          19.64285          -3.03950           2.48157           5.86829                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171701.38000        872120.19520       4730023.24155       11.80798       48.17153      544.41120          -1.93370           4.06563          19.82055          -3.12532           2.14255           6.04598                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171701.05789        872120.68972       4730022.56067       11.80799       48.17153      543.76107          -1.38374           3.77108          19.17041          -2.57536           1.84800           5.39585                 8                 8                 0              1.77
2013-Sep-20 09:11:09         4171701.46908        872120.91525       4730022.18295       11.80799       48.17153      543.77882          -1.24712           3.18488          19.18816          -2.43874           1.26180           5.41360                 8                 8                 0              1.77
2013-Sep-20 09:11:10         4171701.58023        872120.93919       4730022.09128       11.80799       48.17153      543.78632          -1.24643           3.03902          19.19567          -2.43805           1.11595           5.42111                 8                 8                 0              1.77
