         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
1999-Aug-27 09:09:19         4171702.23571        872124.12091       4730017.33868       11.80803       48.17149      541.10706           1.73383          -1.09374          16.51640           2.29422          -2.41743           5.72354                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171703.66160        872123.93996       4730017.05561       11.80802       48.17148      541.80224           1.26492          -2.29494          17.21159           1.82532          -3.61863           6.41873                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171700.17890        872122.19994       4730016.23255       11.80801       48.17150      538.67801           0.27440          -0.03833          14.08736           0.83480          -1.36202           3.29450                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171697.52445        872121.64690       4730017.13141       11.80801       48.17152      537.53952           0.27625           2.58154          12.94886           0.83665           1.25786           2.15601                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171694.37948        872120.48604       4730017.31347       11.80800       48.17154      535.46375          -0.21648           5.17383          10.87310           0.34392           3.85015           0.08024                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171694.72972        872120.10541       4730015.28313       11.80800       48.17153      534.12754          -0.66073           3.62238           9.53688          -0.10034           2.29869          -1.25598                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171698.19767        872120.41898       4730017.15531       11.80799       48.17152      537.82923          -1.06345           2.29369          13.23857          -0.50305           0.97000           2.44571                 8                 0                 8              2.00
1999-Aug-27 09:09:19         4171698.26754        872119.74055       4730014.76840       11.80798       48.17150      536.00365          -1.74182           0.75434          11.41300          -1.18143          -0.56935           0.62014                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171696.99939        872121.56118       4730012.25156       11.80801       48.17150      533.54887           0.29979          -0.27681           8.95822           0.86018          -1.60050          -1.83464                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.21647        872121.07300       4730009.54888       11.80801       48.17150      529.65169           0.39141           0.02501           5.06104           0.95181          -1.29868          -5.73182                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171695.44362        872121.88269       4730012.56076       11.80802       48.17151      532.80755           0.93286           1.01512           8.21690           1.49325          -0.30857          -2.57596                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.83915        872119.52523       4730014.96864       11.80799       48.17153      533.88546          -1.25103           3.42129           9.29480          -0.69063           2.09761          -1.49805                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.83635        872120.68506       4730014.91086       11.80800       48.17153      533.99886          -0.11517           3.20795           9.40820           0.44523           1.88427          -1.38466                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171695.79298        872121.03515       4730014.69556       11.80801       48.17152      534.51068           0.03176           2.31324           9.92002           0.59216           0.98955          -0.87283                 8                 0                 8              2.00
