         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:18         4171696.90910        872121.40991       4730017.29374       11.80801       48.17153      537.22644           0.17019           3.17476          12.63578           1.98315          -0.42131           3.64025                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171697.26759        872120.99996       4730017.00067       11.80800       48.17152      537.18613          -0.30445           2.78034          12.59547           1.50851          -0.81572           3.59994                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171698.17413        872122.27525       4730017.12289       11.80802       48.17152      538.04303           0.75835           2.00619          13.45237           2.57131          -1.58987           4.45684                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171696.15179        872121.89065       4730015.37314       11.80802       48.17152      535.36656           0.79573           2.37297          10.77590           2.60869          -1.22309           1.78037                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171695.18910        872122.07684       4730014.71611       11.80802       48.17152      534.27394           1.17498           2.60857           9.68329           2.98794          -0.98750           0.68775                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171696.78909        872120.50855       4730013.65031       11.80800       48.17151      534.31021          -0.68753           0.96992           9.71955           1.12543          -2.62614           0.72402                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171696.91691        872120.01392       4730013.44362       11.80799       48.17151      534.17213          -1.19785           0.81427           9.58148           0.61511          -2.78179           0.58594                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171696.73519        872120.20544       4730013.29070       11.80799       48.17151      533.96569          -0.97320           0.81562           9.37504           0.83976          -2.78044           0.37950                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171695.42505        872121.01961       4730012.32164       11.80801       48.17151      532.49947           0.09184           1.00080           7.90881           1.90480          -2.59526          -1.08672                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171695.87389        872120.48848       4730014.33209       11.80800       48.17152      534.21805          -0.51990           2.09519           9.62740           1.29306          -1.50088           0.63186                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171695.90048        872119.75316       4730013.94614       11.80799       48.17152      533.84748          -1.24511           1.93053           9.25682           0.56785          -1.66553           0.26129                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171696.74939        872120.68241       4730014.13398       11.80800       48.17151      534.66842          -0.50923           1.29492          10.07776           1.30373          -2.30114           1.08223                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171690.28984        872120.16318       4730010.86429       11.80801       48.17153      527.94444           0.30436           3.90497           3.35378           2.11732           0.30891          -5.64175                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171689.17640        872120.49096       4730009.94144       11.80802       48.17153      526.57467           0.85305           4.05166           1.98401           2.66601           0.45560          -7.01152                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171695.08288        872120.24787       4730014.08012       11.80800       48.17152      533.48111          -0.59355           2.54078           8.89045           1.21941          -1.05528          -0.10508                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171697.78397        872121.75338       4730016.49995       11.80801       48.17152      537.25293           0.32736           1.95490          12.66228           2.14032          -1.64116           3.66674                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.86836        872122.35693       4730016.35705       11.80802       48.17152      536.63112           1.10551           2.43539          12.04046           2.91847          -1.16067           3.04493                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171697.83682        872122.88929       4730018.34490       11.80802       48.17152      538.81720           1.42842           2.97356          14.22655           3.24138          -0.62251           5.23101                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171694.71701        872121.43601       4730015.63471       11.80801       48.17153      534.56280           0.64432           3.66323           9.97215           2.45728           0.06717           0.97662                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171691.80256        872117.66279       4730011.39013       11.80797       48.17153      528.98252          -2.45267           3.53357           4.39187          -0.63971          -0.06249          -4.60366                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171690.41152        872117.25164       4730010.27956       11.80797       48.17153      527.19082          -2.57046           3.87022           2.60016          -0.75750           0.27416          -6.39537                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171692.07568        872117.33262       4730011.41932       11.80797       48.17153      529.13751          -2.83174           3.40418           4.54685          -1.01878          -0.19188          -4.44868                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171691.61815        872117.65543       4730010.80166       11.80797       48.17153      528.42265          -2.42214           3.27675           3.83199          -0.60918          -0.31931          -5.16354                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171695.46147        872118.75829       4730013.87402       11.80798       48.17152      533.37139          -2.12908           2.35433           8.78073          -0.31612          -1.24173          -0.21480                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.08218        872120.66208       4730014.38537       11.80800       48.17152      534.41743          -0.39260           1.95233           9.82677           1.42036          -1.64374           0.83124                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171691.21510        872119.56773       4730011.98245       11.80800       48.17153      529.30036          -0.46783           4.06661           4.70971           1.34513           0.47055          -4.28582                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171693.34029        872120.71321       4730015.51992       11.80801       48.17154      533.47992           0.21853           4.70103           8.88926           2.03149           1.10497          -0.10627                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171695.08296        872120.74421       4730017.59124       11.80800       48.17154      536.16518          -0.10773           4.80661          11.57453           1.70523           1.21055           2.57900                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.95736        872120.77579       4730018.50428       11.80800       48.17153      538.07343          -0.46038           4.04356          13.48277           1.35258           0.44750           4.48724                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.21489        872120.63733       4730016.75060       11.80800       48.17153      536.26311          -0.44398           3.43668          11.67245           1.36898          -0.15938           2.67692                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.08334        872121.02813       4730015.74784       11.80801       48.17152      535.48337          -0.03454           2.80430          10.89271           1.77843          -0.79177           1.89718                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171699.46538        872122.79974       4730018.14445       11.80802       48.17151      539.71873           1.00751           1.66569          15.12807           2.82047          -1.93037           6.13254                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171697.17088        872121.27785       4730016.31399       11.80801       48.17152      536.64924          -0.01264           2.35056          12.05859           1.80032          -1.24550           3.06306                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171695.44672        872120.32287       4730016.13813       11.80800       48.17153      535.26237          -0.59460           3.63646          10.67171           1.21836           0.04040           1.67618                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171693.00983        872119.13721       4730014.84526       11.80799       48.17154      532.54640          -1.25649           4.73244           7.95575           0.55647           1.13638          -1.03979                 7                 3                 4              2.38
